Starting Inheritance SGA Optimization
Feature count range: 30 -> 10

=== Current Feature Count: 30 ===
  Gen 870 | Best MCC: 0.6629
  Gen 880 | Best MCC: 0.6629
  Gen 890 | Best MCC: 0.6629
  Gen 900 | Best MCC: 0.6629
  Gen 910 | Best MCC: 0.6629
  Gen 920 | Best MCC: 0.6629
  Gen 930 | Best MCC: 0.6629
  Gen 940 | Best MCC: 0.6629
  Gen 950 | Best MCC: 0.6629
  Gen 960 | Best MCC: 0.6629
  Gen 970 | Best MCC: 0.6629
  Gen 980 | Best MCC: 0.6629
  Gen 990 | Best MCC: 0.6629
  Gen 1000 | Best MCC: 0.6629

=== Current Feature Count: 27 ===
  Gen 10 | Best MCC: 0.6492
  Gen 20 | Best MCC: 0.6492
  Gen 30 | Best MCC: 0.6492
  Gen 40 | Best MCC: 0.6492
  Gen 50 | Best MCC: 0.6492
  Gen 60 | Best MCC: 0.6492
  Gen 70 | Best MCC: 0.6492
  Gen 80 | Best MCC: 0.6621
  Gen 90 | Best MCC: 0.6621
  Gen 100 | Best MCC: 0.6621
  Gen 110 | Best MCC: 0.6621
  Gen 120 | Best MCC: 0.6621
  Gen 130 | Best MCC: 0.6621
  Gen 140 | Best MCC: 0.6621
  Gen 150 | Best MCC: 0.6621
  Gen 160 | Best MCC: 0.6621
  Gen 170 | Best MCC: 0.6621
  Gen 180 | Best MCC: 0.6621
  Gen 190 | Best MCC: 0.6621
  Gen 200 | Best MCC: 0.6621
  Gen 210 | Best MCC: 0.6621
  Gen 220 | Best MCC: 0.6621
  Gen 230 | Best MCC: 0.6621
  Gen 240 | Best MCC: 0.6621
  Gen 250 | Best MCC: 0.6696
  Gen 260 | Best MCC: 0.6696
  Gen 270 | Best MCC: 0.6696
  Gen 280 | Best MCC: 0.6696
  Gen 290 | Best MCC: 0.6696
  Gen 300 | Best MCC: 0.6696
  Gen 310 | Best MCC: 0.6696
  Gen 320 | Best MCC: 0.6696
  Gen 330 | Best MCC: 0.6696
  Gen 340 | Best MCC: 0.6696
  Gen 350 | Best MCC: 0.6696
