logFC,AveExpr,t,P.Value,adj.P.Val,B
X1127_.hsa.mir.503,-2.73640217366539,2.73659602102885,-11.7557040758635,9.21368039211598e-28,7.74936332979755e-27,51.9142561970638
X236_.hsa.mir.18a,-1.46377142633187,6.30833312689904,-11.7296296595371,1.16178893728149e-27,9.60004542911549e-27,51.6839772979924
X413_.hsa.mir.3157,-1.56785606239402,2.03955357136538,-11.7071571719143,1.41848047747696e-27,1.15190397395112e-26,51.4857158694184
X497_.hsa.mir.345,-1.89404315737807,5.70901893444952,-11.6970238904436,1.55199235304508e-27,1.23896338692243e-26,51.3963787337304
X177_.hsa.mir.134,-3.54536598922535,3.8249077221899,-11.6432267894154,2.50040509498798e-27,1.96281799956556e-26,50.9227490427729
X222_.hsa.mir.181a.2,1.88464578062239,13.8999262540625,11.567465228801,4.88528884147599e-27,3.77208367923802e-26,50.2576335367041
X300_.hsa.mir.217,-2.50534317250766,1.7108753795649,-11.5582984563322,5.29688974888267e-27,4.02392753503828e-26,50.1773088731733
X673_.hsa.mir.424,-3.37788346260853,6.34047230944712,-11.4849449212727,1.01073203442833e-26,7.55642520977369e-26,49.5357264102628
X186_.hsa.mir.139,-2.92195521486104,4.09890410372356,-11.475449581863,1.09873938628643e-26,8.08603517095168e-26,49.4528306865358
X1372_.hsa.mir.574,-2.37178320958921,5.31272884653846,-11.3922755366688,2.27955130520961e-26,1.65179794577497e-25,48.7282386304929
X1878_.hsa.mir.96,-1.85387568523847,1.52178034030529,-11.3369100882718,3.69980657642863e-26,2.64031651136043e-25,48.2474429385321
X491_.hsa.mir.338,-3.03565339183989,9.8001950483149,-11.2579452157233,7.36625328697579e-26,5.17836611666507e-25,47.5638563470602
X289_.hsa.mir.2110,-1.34393309289156,3.12471711553846,-11.1358041352362,2.12662245752597e-25,1.47299879043343e-24,46.5115417648829
X481_.hsa.mir.324,-1.46202504488509,6.60870468290625,-11.1146116391033,2.55453899866299e-25,1.74375053386995e-24,46.3295873099469
X343_.hsa.mir.301b,-1.55572525565454,1.99416373854087,-11.1051720091009,2.77173882230081e-25,1.86498426471955e-24,46.2486011137299
X221_.hsa.mir.181a.1,2.0646698124856,13.9106378802091,11.0632389521761,3.98099167848921e-25,2.64091138108228e-24,45.8892941627321
X1389_.hsa.mir.590,-1.94988638572234,5.49981658989663,-11.0210722222127,5.72515808996425e-25,3.74520758385161e-24,45.5287339971774
X224_.hsa.mir.181b.2,1.88979463076208,10.5037209870793,10.9432374986725,1.11741147349681e-24,7.20960005502737e-24,44.8651728418951
X285_.hsa.mir.20b,-3.19155663527921,6.29385323812019,-10.8551520576986,2.37436434679969e-24,1.51125082073332e-23,44.117368809998
X307_.hsa.mir.221,1.3954240309034,10.4029654069663,10.7408802184757,6.2811916130142e-24,3.94458833297292e-23,43.1523063064002
X1121_.hsa.mir.500a,-1.99719318030298,8.51188790828125,-10.7198954367426,7.50518824912462e-24,4.65124166491802e-23,42.9757102536485
X736_.hsa.mir.431,-2.25234654943239,1.43575960792067,-10.6931117515648,9.41729472091904e-24,5.76044910851022e-23,42.7505989571467
X1660_.hsa.mir.6837,-1.23269168774658,2.41358969693029,-10.6180171417664,1.77642121885081e-23,1.07268512061376e-22,42.1211595008002
X923_.hsa.mir.4645,-1.01375343743731,1.2498337794351,-10.5137334451149,4.27065900603523e-23,2.54617771119316e-22,41.2512957157633
X1123_.hsa.mir.501,-2.01817595273118,5.77413282294231,-10.4922798870833,5.11213354118725e-23,3.00976862237399e-22,41.0729618686301
X395_.hsa.mir.3143,-1.03693842416357,1.0455902136226,-10.4832881240785,5.51203824468484e-23,3.20514816450192e-22,40.9982804107153
X292_.hsa.mir.2115,-2.03150003372772,2.78170553626923,-10.3889124103611,1.21246144094454e-22,6.96426022786439e-22,40.21669979028
X124_.hsa.mir.128.2,1.52305851357809,7.39536564513942,10.2811663068504,2.96726164710247e-22,1.68383160937984e-21,39.3294905395334
X1778_.hsa.mir.7850,-1.31733311872727,1.41347794604087,-10.2308962455641,4.49677354660536e-22,2.52140516720372e-21,38.9174368395868
X539_.hsa.mir.365a,-2.06576544454001,3.91189966464904,-10.2024459133893,5.68659908226969e-22,3.15104490323414e-21,38.6847708108097
X189_.hsa.mir.142,-2.02963026369574,14.2773313487812,-10.1745532677159,7.15558252684838e-22,3.91892950016929e-21,38.457043350511
X540_.hsa.mir.365b,-2.06023338887643,3.91999923540865,-10.1724491887068,7.28058623349894e-22,3.9415587539977e-21,38.43987996806
X1381_.hsa.mir.582,-2.91558639362283,9.53834019027163,-10.1692275987228,7.47619565318646e-22,4.00146380983048e-21,38.4136049737731
X1675_.hsa.mir.6852,-1.13942915428003,1.30063729795433,-10.154581464911,8.43335929714437e-22,4.46304744826404e-21,38.2942156925674
X524_.hsa.mir.363,-2.31329776908729,5.19448720033654,-10.1298900792244,1.0330107155022e-21,5.4060894111282e-21,38.0931768741165
X108_.hsa.mir.1270,-1.77431232966266,2.04636190820673,-10.036452905319,2.22005936282941e-21,1.14906369218973e-20,37.3350956480073
X269_.hsa.mir.19b.2,-1.90548322689894,8.6509730394351,-9.92731028280495,5.39703985481317e-21,2.76304975175761e-20,36.4550387639326
